x	y	t	particle
-717.624499433	-1329.56902621	11281818181.8	14
-724.526068074	-1334.04846622	11447727272.7	14
-731.378918893	-1338.48869311	11613636363.6	14
-738.184044926	-1342.89057066	11779545454.5	14
-744.942407086	-1347.25493446	11945454545.5	14
-751.654933439	-1351.58259159	12111363636.4	14
-758.322520992	-1355.87432208	12277272727.3	14
-764.946038029	-1360.13088073	12443181818.2	14
-771.526325591	-1364.35299838	12609090909.1	14
-778.064197516	-1368.54138207	12775000000.0	14
-784.56044201	-1372.69671633	12940909090.9	14
-791.015823729	-1376.81966485	13106818181.8	14
-797.431083922	-1380.91087067	13272727272.7	14
-803.806941287	-1384.97095695	13438636363.6	14
-810.144093237	-1389.00052804	13604545454.5	14
-816.443217276	-1393.00017062	13770454545.5	14
-822.704970976	-1396.97045374	13936363636.4	14
-828.929992963	-1400.91192968	14102272727.3	14
-835.118904115	-1404.8251349	14268181818.2	14
-841.272308057	-1408.71059055	14434090909.1	14
-847.390791572	-1412.56880282	14600000000.0	14
-853.474925382	-1416.40026361	14765909090.9	14
-859.525265114	-1420.20545137	14931818181.8	14
-865.542351446	-1423.98483125	15097727272.7	14
-871.526710694	-1427.73885563	15263636363.6	14
-877.478855625	-1431.46796478	15429545454.5	14
-883.399285955	-1435.17258732	15595454545.5	14
-889.28848836	-1438.8531403	15761363636.4	14
-895.146937059	-1442.51002966	15927272727.3	14
-900.975094162	-1446.14365056	16093181818.2	14
-906.773410781	-1449.75438833	16259090909.1	14
-912.542327523	-1453.34261885	16425000000.0	14
192.9289322	-707.0710678	0.0	15
109.678255931	-794.165418219	165909090.909	15
73.1149382459	-834.314666882	331818181.818	15
45.1817955991	-865.579686692	497727272.727	15
21.6868398383	-892.19525851	663636363.636	15
1.00988118077	-915.811162793	829545454.545	15
-17.6771843222	-937.27743683	995454545.455	15
-34.8644199837	-957.10126493	1161363636.36	15
-50.8698709797	-975.614551167	1327272727.27	15
-65.9135759385	-993.048852543	1493181818.18	15
-80.155115718	-1009.57351556	1659090909.09	15
-93.7144980739	-1025.31695715	1825000000.0	15
-106.684609726	-1040.37939536	1990909090.91	15
-119.139053515	-1054.84088983	2156818181.82	15
-131.137300252	-1068.76664613	2322727272.73	15
-142.72820086	-1082.21064506	2488636363.64	15
-153.95245317	-1095.21820144	2654545454.55	15
-164.84438069	-1107.82781634	2820454545.45	15
-175.433241714	-1120.07254545	2986363636.36	15
-185.744213505	-1131.98103242	3152272727.27	15
-195.799145279	-1143.578302	3318181818.18	15
-205.617141145	-1154.88637727	3484090909.09	15
-215.215018521	-1165.9247666	3650000000.0	15
-224.607673059	-1176.71085345	3815909090.91	15
-233.808372407	-1187.26021099	3981818181.82	15
-242.828994389	-1197.58685815	4147727272.73	15
-251.68022275	-1207.70347203	4313636363.64	15
-260.371708606	-1217.62156293	4479545454.55	15
-268.912205253	-1227.35162104	4645454545.45	15
-277.309681036	-1236.90324041	4811363636.36	15
-285.571414667	-1246.28522376	4977272727.27	15
-293.704076138	-1255.50567195	5143181818.18	15
-301.713795939	-1264.5720606	5309090909.09	15
-309.606224588	-1273.49130659	5475000000.0	15
-317.3865837	-1282.26982526	5640909090.91	15
-325.059710519	-1290.91358039	5806818181.82	15
-332.630096671	-1299.42812802	5972727272.73	15
-340.101921885	-1307.81865446	6138636363.64	15
-347.479083785	-1316.09001041	6304545454.55	15
-354.765223824	-1324.24674066	6470454545.45	15
-361.963750592	-1332.29311068	6636363636.36	15
-369.077860462	-1340.23313045	6802272727.27	15
-376.110555458	-1348.07057515	6968181818.18	15
-383.064659825	-1355.80900443	7134090909.09	15
-389.942834318	-1363.45177896	7300000000.0	15
